flow #241: size: 11, rem_Size: 0, arrived: 2631, src\dst:[18,27], FCT: 2953
flow #242: size: 8, rem_Size: 0, arrived: 2728, src\dst:[18,31], FCT: 2898
flow #243: size: 9, rem_Size: 0, arrived: 212, src\dst:[19,0], FCT: 4634
flow #244: size: 58, rem_Size: 0, arrived: 2821, src\dst:[19,1], FCT: 2784
flow #245: size: 5, rem_Size: 0, arrived: 1568, src\dst:[19,2], FCT: 3890
flow #246: size: 11, rem_Size: 0, arrived: 2914, src\dst:[19,7], FCT: 2607
flow #247: size: 7, rem_Size: 0, arrived: 296, src\dst:[19,10], FCT: 5351
flow #248: size: 14, rem_Size: 0, arrived: 1169, src\dst:[19,12], FCT: 4331
flow #249: size: 18, rem_Size: 0, arrived: 1653, src\dst:[19,15], FCT: 3587
flow #250: size: 19, rem_Size: 0, arrived: 2812, src\dst:[19,17], FCT: 1356
flow #251: size: 92, rem_Size: 0, arrived: 583, src\dst:[19,20], FCT: 5085
flow #252: size: 15, rem_Size: 0, arrived: 1742, src\dst:[19,24], FCT: 2618
flow #253: size: 46, rem_Size: 0, arrived: 676, src\dst:[19,26], FCT: 4254
flow #254: size: 5, rem_Size: 0, arrived: 2998, src\dst:[19,27], FCT: 2628
flow #255: size: 12, rem_Size: 0, arrived: 381, src\dst:[19,29], FCT: 4625
flow #256: size: 26, rem_Size: 0, arrived: 1152, src\dst:[19,30], FCT: 4176
flow #257: size: 9, rem_Size: 0, arrived: 930, src\dst:[20,0], FCT: 4654
flow #258: size: 98, rem_Size: 0, arrived: 2043, src\dst:[20,1], FCT: 3329
flow #259: size: 3, rem_Size: 0, arrived: 2326, src\dst:[20,3], FCT: 3195
flow #260: size: 13, rem_Size: 0, arrived: 2609, src\dst:[20,4], FCT: 2870
flow #261: size: 3, rem_Size: 0, arrived: 93, src\dst:[20,6], FCT: 5407
flow #262: size: 15, rem_Size: 0, arrived: 376, src\dst:[20,9], FCT: 5082
flow #263: size: 16, rem_Size: 0, arrived: 1062, src\dst:[20,11], FCT: 3406
flow #264: size: 46, rem_Size: 0, arrived: 2120, src\dst:[20,12], FCT: 2556
flow #265: size: 21, rem_Size: 0, arrived: 1341, src\dst:[20,13], FCT: 2829
flow #266: size: 5, rem_Size: 0, arrived: 561, src\dst:[20,15], FCT: 4981
flow #267: size: 80, rem_Size: 0, arrived: 1519, src\dst:[20,21], FCT: 3743
flow #268: size: 15, rem_Size: 0, arrived: 840, src\dst:[20,23], FCT: 3699
flow #269: size: 15, rem_Size: 0, arrived: 2286, src\dst:[20,29], FCT: 3382
flow #270: size: 11, rem_Size: 0, arrived: 2569, src\dst:[21,3], FCT: 2973
flow #271: size: 1, rem_Size: 0, arrived: 1503, src\dst:[21,4], FCT: 4144
